CustomerID,Name,Email,Age,Gender,Location,PurchaseHistory
C068,Ashley Rodriguez,vbradley@example.org,45,F,Lake Sethland,"['T00987', 'T00545', 'T00197', 'T00583', 'T00659']"
C069,Becky Brown,xsmith@example.com,62,M,New Jose,"['T00896', 'T00249', 'T00089']"
C070,Sierra Dougherty,michaelcurry@example.net,59,F,Port Ashleyton,"['T00246', 'T00836']"
C071,Nancy Horn,mooremariah@example.org,69,F,South Robert,['T00390']
C072,Alyssa Wright,clewis@example.org,63,M,Acostastad,['T00191']
C073,Nicole Austin,brownbreanna@example.net,43,M,Jamesside,"['T00847', 'T00741', 'T00049']"
C074,Stephanie Hall,sheppardbrittany@example.net,67,F,Rodriguezchester,['T00353']
C075,Bryan Hess,ypatton@example.com,23,F,West Kelly,"['T00329', 'T00411', 'T00766']"
C076,Amanda Barron,tiffany36@example.com,47,M,New Tracyshire,"['T00286', 'T00101', 'T00012', 'T00598']"
C077,Calvin Glenn,cathy55@example.com,60,F,Martinbury,"['T00202', 'T00971']"
C078,Lorraine Lewis,charleschan@example.org,56,M,Leahtown,"['T00917', 'T00594', 'T00775']"
C079,John Gilbert,obrock@example.net,44,M,West Danielletown,['T00460']
C080,Denise Campos,knightleonard@example.org,66,F,Davehaven,"['T00052', 'T00643', 'T00941', 'T00605', 'T00824']"
C081,Francis Camacho,awoods@example.net,29,F,Mendezview,"['T00745', 'T00619', 'T00902', 'T00421', 'T00517']"
C082,Matthew Harding,erika04@example.net,40,F,East Lisa,"['T00263', 'T00169', 'T00262', 'T00539']"
C083,Emily Jennings,iwhite@example.net,61,F,Scottborough,['T00075']
C084,Kristin Miles,yroach@example.org,56,M,Melaniefurt,"['T00293', 'T00214', 'T00921', 'T00064']"
C085,Lisa Davis,pellison@example.com,54,M,Perkinsmouth,"['T00743', 'T00010']"
C086,Melanie Velazquez,ryan62@example.org,38,F,East Thomasview,"['T00508', 'T00912', 'T00130', 'T00942', 'T00832']"
C087,Wanda Ryan,lauraarmstrong@example.net,32,M,West Alexis,['T00451']
C088,Melissa Potts,tyrone82@example.org,21,M,West Robin,['T00921']
C089,Neil Gomez,oward@example.com,60,M,New Jenniferton,"['T00746', 'T00271', 'T00716', 'T00826']"
C090,Mary Garcia,fvalentine@example.org,55,F,South Austinfurt,['T00527']
C091,Lacey Payne,robert44@example.com,48,M,North Shirley,['T00235']
C092,Stacy Barton,lawsonchristopher@example.org,63,F,Danielville,['T00954']
C093,Michelle Wright,sarah61@example.org,70,M,Jasminmouth,"['T00900', 'T00486', 'T00842']"
C094,Ryan Henry,williamlevine@example.com,57,M,South Deborah,['T00179']
C095,Angela Taylor,kimberly36@example.org,49,M,East Adammouth,['T00863']
C096,Kimberly Wilson,ihill@example.net,34,M,Lewisville,['T00666']
C097,Angela Adkins,belltamara@example.org,33,F,East Shirley,"['T00071', 'T00948', 'T00100', 'T00067']"
C098,Sarah Davenport,pamelagordon@example.com,40,M,Brettton,"['T00107', 'T00378']"
C099,Daisy Rice,robertorowland@example.org,29,M,East Erinland,"['T00033', 'T00036', 'T00885']"
C100,Sharon Henry,dstuart@example.org,63,F,South Alex,"['T00088', 'T00862']"
C101,Charles Smith,elizabeth97@example.org,32,F,Lake Michaelmouth,"['T00425', 'T00338']"
C102,Craig Boyd,garciatanya@example.com,46,M,Kennethport,['T00692']
C103,Darlene Mcbride MD,jeffrey46@example.org,33,M,Taylorfurt,['T00075']
C104,Joyce Martinez,alejandroevans@example.com,37,F,Elizabethside,"['T00855', 'T00412', 'T00013', 'T00996']"
C105,Jason Ross,uadams@example.net,32,M,Martinchester,"['T00929', 'T00936']"
C106,Jessica Moore,muellerjustin@example.net,24,M,Joshuaville,"['T00508', 'T00005', 'T00233']"
C107,Angela Potts,gina94@example.org,42,F,Colonville,"['T00415', 'T00800']"
C108,William Roberts,nixonjonathan@example.com,70,M,Longville,"['T00779', 'T00189', 'T00667', 'T00852', 'T00888']"
C109,John Jones,louiscampbell@example.com,65,F,Cannonhaven,"['T00722', 'T00334', 'T00629']"
C110,Mary Castillo,tdawson@example.org,70,F,Lake Cory,"['T00469', 'T00815', 'T00285', 'T00967', 'T00376']"
C111,Joseph Miller,gene09@example.com,70,F,Lake Matthewmouth,"['T00126', 'T00060', 'T00530', 'T00290']"
C112,Andrea Nelson,curtis24@example.com,29,M,Aguilarborough,"['T00204', 'T00496']"
C113,Carolyn Evans,christina57@example.net,36,M,Jeremyborough,"['T00696', 'T00967', 'T00298', 'T00018']"
C114,Jeffrey Hansen,andradesheri@example.net,27,F,New Gabrielville,"['T00927', 'T00726', 'T00810']"
C115,Jonathan Cole,williamsmisty@example.com,46,F,Port Stephanie,"['T00346', 'T00436', 'T00419', 'T00031', 'T00360']"
C116,Adam Carter,chavezdustin@example.org,22,M,Jenniferbury,"['T00947', 'T00485']"
C117,Peter Anthony,sandrajordan@example.net,33,M,North Tinaview,"['T00241', 'T00947']"
C118,Sean Miller,kimberlycontreras@example.org,57,M,Mortonchester,"['T00318', 'T00726', 'T00611', 'T00251', 'T00429']"
C119,Anthony Sparks,zimmermanmichael@example.org,69,M,North Amanda,['T00734']
C120,Todd Mcdaniel,deborahnguyen@example.com,34,M,Justinbury,"['T00173', 'T00141']"
C121,Mrs. Christina Jones DDS,jennifer09@example.org,34,M,South Brandy,"['T00231', 'T00137', 'T00148']"
C122,Kathy Case,craig78@example.net,54,M,Christiehaven,"['T00201', 'T00680', 'T00839']"
C123,Eugene Andrews,christopher20@example.net,34,F,South Kristina,"['T00251', 'T00028', 'T00135', 'T00441']"
C124,Nicole Burton,swilson@example.org,26,M,Richardberg,['T00016']
C125,Kristen Martin,byrdanthony@example.org,21,M,Clarkborough,"['T00129', 'T00770']"
C126,Melanie Jones,martin92@example.com,29,M,Rodriguezland,"['T00870', 'T00083', 'T00738']"
C127,Dylan Silva,edgarpeters@example.com,35,M,Stephensshire,"['T00599', 'T00136', 'T00670']"
C128,Cathy Green,justincollins@example.com,24,F,Austinfurt,"['T00674', 'T00181']"
C129,Jennifer Vasquez,jade85@example.net,41,M,Bryanmouth,"['T00216', 'T00578', 'T00420', 'T00968', 'T00134']"
C130,Courtney Brown,kvincent@example.org,18,F,Armstrongmouth,"['T00808', 'T00191', 'T00109', 'T00078', 'T00120']"
C131,Virginia Saunders,tmorris@example.net,47,M,Wongburgh,"['T00712', 'T00921', 'T00584']"
C132,Robert Hubbard,adamholmes@example.org,58,M,Butlerside,"['T00724', 'T00076', 'T00301']"
C133,Susan Barnett,melissaavery@example.com,39,F,New Jacobside,"['T00885', 'T00679', 'T00227', 'T00730', 'T00723']"
C134,Frederick Mitchell,dthompson@example.net,38,F,Douglasfurt,['T00815']
C135,Adrian Meadows,sandra19@example.net,45,M,Cassandrastad,['T00384']
C136,Kimberly Caldwell,carsonlori@example.net,49,F,Archershire,"['T00354', 'T00439', 'T00286', 'T00159']"
C137,Sara Owens,pzuniga@example.net,23,F,Lake Jackie,"['T00465', 'T00474']"
C138,Deborah Beard,mooreemma@example.com,34,F,West Laura,['T00035']
C139,Pamela White,sanfordnicole@example.com,35,M,East Douglasborough,"['T00045', 'T00835']"
C140,Jeff Gonzalez,nicole11@example.org,60,M,Lake Elizabethmouth,"['T00151', 'T00154', 'T00147', 'T00899']"
C141,Julie Martin DVM,kathrynhill@example.net,69,M,Gibbsshire,['T00137']
C142,Chad Miller MD,victoriapugh@example.org,46,F,Lake Nicoleview,"['T00608', 'T00946', 'T00476', 'T00144']"
C143,Steven Velez,vmorales@example.net,49,F,Haroldchester,"['T00399', 'T00182', 'T00300', 'T00176']"
C144,Ashley Torres,tparks@example.org,22,M,Jacobborough,"['T00960', 'T00959', 'T00849']"
C145,Margaret Jones,ashley81@example.com,59,M,Bradfordtown,"['T00161', 'T00838', 'T00915']"
C146,Brittany Rivera,william87@example.com,41,F,Maryton,['T00406']
C147,Richard Cooke,sweeneybrent@example.org,44,M,West Jeremy,"['T00842', 'T00201', 'T00958']"
C148,Erin Sanders,garciajohn@example.com,32,M,New David,"['T00789', 'T00927']"
C149,Christopher Bentley,sgreen@example.net,50,M,North Emily,['T00694']
C150,Ronnie Cline,keithrichard@example.com,40,M,North Emilyshire,"['T00547', 'T00999', 'T00597']"
C151,Catherine Guzman,ashleyrandolph@example.org,37,M,East Phillip,"['T00583', 'T00161', 'T00873', 'T00772', 'T00363']"
C152,Mallory James,lori94@example.net,54,M,Ruiztown,['T00174']
C153,Rebecca Juarez,sarajones@example.net,45,F,East Jared,['T00992']
C154,Henry Allen,jamesgabriel@example.com,32,F,South Carolynfurt,['T00923']
C155,Christine Phelps,warrenisaiah@example.org,51,M,South Robert,"['T00311', 'T00591', 'T00028', 'T00185', 'T00697']"
C156,Kelli Scott,justinmcdonald@example.net,46,M,North Marissa,"['T00921', 'T00178']"
C157,Melissa Gutierrez,ktyler@example.net,50,M,North Pattyhaven,"['T00251', 'T00257', 'T00464']"
C158,Adam Clark,johnnyramirez@example.net,49,F,Raymondberg,"['T00516', 'T00419', 'T00217']"
C159,Rodney Palmer,hgolden@example.com,62,M,New Stephaniemouth,"['T00714', 'T00697', 'T00785', 'T00314', 'T00908']"
C160,Shawn Johnson,josephweaver@example.org,68,M,South Juliehaven,['T00847']
C161,Richard Hays,michellehess@example.com,27,F,Lake David,"['T00220', 'T00121', 'T00515']"
C162,Melinda Ramsey,michelleingram@example.com,46,F,Port Bethfort,"['T00607', 'T00270', 'T00966', 'T00945', 'T00192']"
C163,Heather Garner,ienglish@example.com,21,F,New Angela,"['T00406', 'T00392']"
C164,George Crosby,ramosamanda@example.org,46,M,Jordanport,['T00886']
C165,Susan Coleman,qwilliams@example.com,46,F,North Robert,['T00910']
C166,Crystal Brown,brandonbenton@example.com,44,M,Gonzalezmouth,"['T00967', 'T00338', 'T00556', 'T00163']"
C167,Daniel Morton,michaelmatthews@example.net,47,M,Ebonyfurt,"['T00259', 'T00841', 'T00187']"
C168,Rebecca Ward,owood@example.com,63,M,New Kenneth,"['T00494', 'T00907', 'T00619']"
C169,Kimberly Hamilton,xwatts@example.net,33,F,Aguilarton,"['T00579', 'T00455', 'T00807', 'T00826', 'T00553']"
C170,William Taylor,esmith@example.org,28,F,East Charlesville,"['T00146', 'T00408', 'T00816']"
C171,Scott Murphy,ajenkins@example.org,45,F,Johnsonton,"['T00915', 'T00023', 'T00974']"
C172,Amanda Cardenas,carla91@example.org,47,M,South Michaelburgh,"['T00972', 'T00677', 'T00483']"
C173,Brooke Mcconnell,jonathanhansen@example.net,32,M,Williamburgh,"['T00479', 'T00001', 'T00730', 'T00363', 'T00990']"
C174,Heather Wong,chenlinda@example.net,45,M,Jimenezport,['T00575']
C175,Stacey Odonnell,fcontreras@example.org,25,M,East Amanda,"['T00407', 'T00617', 'T00007', 'T00666', 'T00029']"
C176,Katie Baker MD,peterjohnson@example.org,53,F,New Crystal,"['T00516', 'T00496']"
C177,Kimberly Wade,paul20@example.com,48,F,Buckbury,"['T00359', 'T00937', 'T00909', 'T00302', 'T00853']"
C178,Ashley Smith,djohns@example.org,21,M,Josephstad,['T00720']
C179,Randall Martinez,jameslee@example.net,58,F,New Amber,"['T00628', 'T00405']"
C180,Brandi Chambers,joseph59@example.com,49,F,East Brookeburgh,"['T00731', 'T00614', 'T00640']"
C181,Kenneth Allen,beverlyburke@example.net,52,M,North Patrick,"['T00843', 'T00804', 'T00583', 'T00912', 'T00916']"
C182,Jason Wright,ijohnson@example.org,46,F,Tinaborough,"['T00038', 'T00627', 'T00021', 'T00247']"
C183,Zachary Baker,donovanemma@example.com,34,F,Salinasborough,"['T00469', 'T00684', 'T00283']"
C184,Patricia Mills,nicholaswalker@example.com,61,M,East Kara,"['T00159', 'T00557', 'T00320', 'T00335', 'T00894']"
C185,Emily Perez,clarkchristina@example.net,19,F,Peterstad,"['T00295', 'T00542', 'T00709', 'T00261', 'T00292']"
C186,Ashley Harris,susanthomas@example.net,25,M,West Stephanieside,['T00805']
C187,Elizabeth Gordon,smithkatherine@example.net,48,F,Stevenburgh,"['T00165', 'T00958', 'T00854', 'T00789']"
C188,Renee Duarte,welchjulie@example.com,31,F,Martinezmouth,"['T00308', 'T00880', 'T00730']"
C189,Ann Miller,jessicawinters@example.net,32,M,Derekfurt,"['T00077', 'T00624']"
C190,Alyssa Rodriguez,esanchez@example.net,69,F,Hannaborough,"['T00649', 'T00833', 'T01000']"
C191,Douglas Horton,lesliewhite@example.org,69,F,Ryanborough,"['T00798', 'T00789', 'T00321', 'T00865']"
C192,Michele Smith,williamramos@example.com,57,M,Phamland,"['T00695', 'T00066']"
C193,Kenneth Franco,laura73@example.com,30,F,East Dawn,"['T00062', 'T00217', 'T00169']"
C194,Nicholas Porter,williamssandra@example.org,28,F,Clarkeport,['T00164']
C195,Kelly Hopkins,michaelpalmer@example.net,63,F,South Robert,"['T00837', 'T00319', 'T00696', 'T00977', 'T00058']"
C196,Jennifer Graham,jeremy09@example.org,33,M,Kelseyview,"['T00783', 'T00331', 'T00418']"
C197,Alexander Rogers,moralesmichelle@example.org,43,F,Colebury,"['T00376', 'T00911', 'T00615']"
C198,Christian Gibson,bentleylaurie@example.net,30,F,South Manuelport,"['T00241', 'T00538', 'T00806', 'T00863', 'T00053']"
C199,Douglas Adams,veronica51@example.org,62,F,North Sarah,"['T00395', 'T00546', 'T00027', 'T00211', 'T00241']"
C200,Lisa Conner,lopezellen@example.net,25,F,East Terry,"['T00184', 'T00378', 'T00017']"
